"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Venda Quantidade";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Custo Fiscal Unit.";"Custo Fiscal Total (Estq)";"Custo Fiscal Total";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,06";"CARLIN : ABACATE Kg";"77";"KG 1";"31,487";"2,68";"84,26";"0,06";"109,88";"0,07";"130,41";"0,73";"23,04";"0,06";"27,34";"37,63";"27,34";"61,22";"61,22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"23,04";"0,06";"27,34";"0,000";"0,00";"0,000";"0,000";"0,000";"1,39";"0,00";"43,73";"0,00";"0,00";"0,00"
"0,07";"CARLIN : ABACAXI GRAUDO unid";"22058";"UN 1";"1,000";"9,99";"9,99";"0,01";"0,00";"0,00";"0,00";"2,99";"2,99";"0,01";"29,93";"42,71";"29,93";"7,00";"7,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,99";"0,01";"29,93";"1,618";"0,02";"0,000";"0,000";"0,000";"2,40";"1.015,20";"2,40";"0,00";"0,00";"0,00"
"0,19";"CARLIN : ABACAXI PÉROLA UNID";"17198";"UN 1";"48,000";"3,82";"183,32";"0,12";"215,52";"0,15";"117,56";"1,42";"68,12";"0,19";"37,16";"59,13";"37,16";"115,20";"115,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"68,12";"0,19";"37,16";"46,320";"0,60";"0,000";"0,000";"0,000";"2,40";"0,00";"115,20";"0,00";"0,00";"0,00"
"0,21";"CARLIN : ABOBRINHA KG";"94";"KG 1";"5,910";"5,99";"35,40";"0,02";"0,00";"0,00";"0,00";"0,99";"5,85";"0,02";"16,53";"19,80";"16,53";"29,55";"29,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,85";"0,02";"16,53";"0,000";"0,00";"0,000";"0,000";"0,000";"4,19";"745,37";"24,79";"0,00";"0,00";"0,00"
"0,23";"CARLIN : ABOBRINHA PAULISTA KG";"95";"KG 1";"7,775";"2,99";"23,25";"0,02";"0,00";"0,00";"0,00";"0,49";"3,81";"0,01";"16,39";"19,60";"16,39";"19,44";"19,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,81";"0,01";"16,39";"0,000";"0,00";"0,000";"0,000";"0,000";"3,27";"79,96";"25,39";"0,00";"0,00";"0,00"
"0,24";"CARLIN : ABÓBORA ITÁLIA KG";"129";"KG 1";"3,860";"4,99";"19,28";"0,01";"0,00";"0,00";"0,00";"0,99";"3,84";"0,01";"19,92";"24,87";"19,92";"15,44";"15,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,84";"0,01";"19,92";"0,000";"0,00";"0,000";"0,000";"0,000";"5,46";"173,38";"21,06";"0,00";"0,00";"0,00"
"0,25";"CARLIN : ALFACE AMERICANA BOLA MONTEIRO unid";"13592";"UN 1";"3,000";"6,99";"20,97";"0,01";"0,00";"0,00";"0,00";"0,99";"2,97";"0,01";"14,16";"16,50";"14,16";"18,00";"18,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,97";"0,01";"14,16";"0,894";"0,01";"0,000";"0,000";"0,000";"5,96";"905,48";"17,87";"0,00";"0,00";"0,00"
"0,27";"CARLIN : ALHO AMEI TRITURADO FRITO 90g";"19315";"UN 1";"5,000";"6,99";"34,95";"0,02";"0,00";"0,00";"0,00";"1,66";"8,28";"0,02";"23,69";"76,52";"43,35";"19,80";"17,72";"0,00";"0,00";"0,00";"8,95";"0,00";"0,00";"0,00";"0,00";"8,28";"0,02";"31,85";"0,530";"0,01";"0,450";"0,002";"17.475,000";"3,38";"138,61";"16,90";"0,00";"0,00";"0,00"
"0,59";"CARLIN : ALHO KG";"284";"KG 1";"15,592";"29,98";"467,51";"0,32";"0,00";"0,00";"0,00";"19,51";"304,25";"0,83";"65,08";"233,15";"69,98";"140,33";"130,51";"0,00";"0,00";"0,00";"32,75";"0,00";"0,00";"0,00";"0,00";"304,25";"0,83";"69,98";"0,000";"0,00";"0,000";"0,000";"0,000";"8,67";"4.877,58";"135,18";"0,00";"0,00";"0,00"
"0,60";"CARLIN : ALHO TRITURADO ALHO FÁCIL 200g SEM SAL";"820";"UN 1";"2,000";"4,99";"9,98";"0,01";"0,00";"0,00";"0,00";"0,98";"1,96";"0,01";"19,64";"66,33";"39,88";"6,00";"5,46";"0,00";"0,00";"0,00";"2,56";"0,00";"0,00";"0,00";"0,00";"1,96";"0,01";"26,40";"0,432";"0,01";"0,400";"0,001";"9.980,000";"2,73";"243,00";"5,46";"0,00";"0,00";"0,00"
"0,61";"CARLIN : ALHO TRITURADO ALHO FÁCIL 400g SEM SAL";"821";"UN 1";"1,000";"9,99";"9,99";"0,01";"0,00";"0,00";"0,00";"2,43";"2,43";"0,01";"24,32";"81,64";"44,94";"5,50";"5,01";"0,00";"0,00";"0,00";"2,56";"0,00";"0,00";"0,00";"0,00";"2,43";"0,01";"32,69";"0,430";"0,01";"0,400";"0,001";"9.990,000";"5,01";"0,00";"5,01";"0,00";"0,00";"0,00"
"0,62";"CARLIN : ALHO TRITURADO AMEI PT 200g";"1380";"UN 1";"2,000";"3,99";"7,98";"0,01";"0,00";"0,00";"0,00";"1,06";"2,12";"0,01";"26,57";"40,00";"28,57";"5,70";"5,30";"0,00";"0,00";"0,00";"0,56";"0,00";"0,00";"0,00";"0,00";"2,12";"0,01";"28,57";"0,410";"0,01";"0,400";"0,001";"7.980,000";"2,65";"204,23";"5,30";"0,00";"0,00";"0,00"
"0,79";"CARLIN : AMEIXA NACIONAL KG";"286";"KG 1";"30,541";"8,00";"244,48";"0,17";"274,57";"0,19";"112,31";"3,01";"91,78";"0,25";"37,54";"60,09";"37,54";"152,71";"152,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"91,78";"0,25";"37,54";"0,000";"0,00";"0,000";"0,000";"0,000";"8,33";"0,00";"254,51";"0,00";"0,00";"0,00"
"0,85";"CARLIN : BANANA FRITAR Kg";"289";"KG 1";"10,692";"7,99";"85,42";"0,06";"0,00";"0,00";"0,00";"1,32";"14,14";"0,04";"16,55";"19,84";"16,55";"71,28";"71,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14,14";"0,04";"16,55";"0,000";"0,00";"0,000";"0,000";"0,000";"6,67";"521,22";"71,28";"0,00";"0,00";"0,00"
"0,91";"CARLIN : BANANA MAÇÃ Kg";"291";"KG 1";"5,792";"15,99";"92,60";"0,06";"0,00";"0,00";"0,00";"4,65";"26,96";"0,07";"29,11";"41,07";"29,11";"65,64";"65,64";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26,96";"0,07";"29,11";"0,000";"0,00";"0,000";"0,000";"0,000";"11,33";"71,64";"65,64";"0,00";"0,00";"0,00"
"1,69";"CARLIN : BANANA NANICA Kg";"290";"KG 1";"391,629";"2,93";"1.147,25";"0,78";"1.405,94";"0,95";"122,55";"0,43";"168,18";"0,46";"14,66";"17,18";"14,66";"979,07";"979,07";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"168,18";"0,46";"14,66";"0,000";"0,00";"0,000";"0,000";"0,000";"3,42";"0,00";"1.339,37";"0,00";"0,00";"0,00"
"1,81";"CARLIN : BANANA PRATA Kg";"298";"KG 1";"22,288";"7,99";"178,07";"0,12";"0,00";"0,00";"0,00";"1,32";"29,48";"0,08";"16,56";"19,84";"16,56";"148,59";"148,59";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"29,48";"0,08";"16,56";"0,000";"0,00";"0,000";"0,000";"0,000";"3,98";"1.588,34";"88,74";"0,00";"0,00";"0,00"
"1,84";"CARLIN : BATATA DOCE ROXA Kg";"309";"KG 1";"15,080";"3,05";"46,00";"0,03";"0,00";"0,00";"0,00";"1,55";"23,38";"0,06";"50,83";"103,36";"50,83";"22,62";"22,62";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"23,38";"0,06";"50,83";"0,000";"0,00";"0,000";"0,000";"0,000";"2,25";"473,11";"33,89";"0,00";"0,00";"0,00"
"2,37";"CARLIN : BATATA EXTRA Kg";"311";"KG 1";"157,545";"4,99";"786,04";"0,53";"0,00";"0,00";"0,00";"0,99";"155,86";"0,42";"19,83";"24,73";"19,83";"630,18";"630,18";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"155,86";"0,42";"19,83";"0,000";"0,00";"0,000";"0,000";"0,000";"2,93";"4.251,05";"461,82";"0,00";"0,00";"0,00"
"2,39";"CARLIN : BERINJELA Kg";"316";"KG 1";"7,835";"3,99";"31,28";"0,02";"35,97";"0,02";"114,99";"1,32";"10,35";"0,03";"33,09";"49,45";"33,09";"20,93";"20,93";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10,35";"0,03";"33,09";"0,000";"0,00";"0,000";"0,000";"0,000";"2,37";"1,46";"18,58";"0,00";"0,00";"0,00"
"2,44";"CARLIN : BETERRABA Kg";"317";"KG 1";"33,943";"1,99";"67,55";"0,05";"0,00";"0,00";"0,00";"0,74";"25,12";"0,07";"37,19";"59,20";"37,19";"42,43";"42,43";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"25,12";"0,07";"37,19";"0,000";"0,00";"0,000";"0,000";"0,000";"1,64";"402,44";"55,81";"0,00";"0,00";"0,00"
"2,63";"CARLIN : BRÓCOLIS NINJA unid";"18833";"UN 1";"35,000";"7,99";"279,65";"0,19";"0,00";"0,00";"0,00";"1,99";"69,65";"0,19";"24,91";"33,17";"24,91";"210,00";"210,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"69,65";"0,19";"24,91";"12,880";"0,17";"0,000";"0,000";"0,000";"5,69";"6.400,95";"199,14";"0,00";"0,00";"0,00"
"2,65";"CARLIN : CABOTCHA Kg";"318";"KG 1";"8,240";"2,99";"24,64";"0,02";"0,00";"0,00";"0,00";"1,34";"11,04";"0,03";"44,81";"81,18";"44,81";"13,60";"13,60";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"11,04";"0,03";"44,81";"0,000";"0,00";"0,000";"0,000";"0,000";"1,88";"624,86";"15,47";"0,00";"0,00";"0,00"
"2,74";"CARLIN : CABOTIÁ FAZENDINHA DESCASCADA 400g";"19262";"UN 1";"18,000";"6,99";"125,82";"0,09";"0,00";"0,00";"0,00";"2,69";"48,42";"0,13";"38,48";"62,56";"38,48";"77,40";"77,40";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"48,42";"0,13";"38,48";"7,434";"0,10";"0,000";"0,000";"0,000";"4,30";"313,90";"77,40";"0,00";"0,00";"0,00"
"3,01";"CARLIN : CEBOLA EXTRA Kg";"338";"KG 1";"100,532";"3,99";"401,06";"0,27";"0,00";"0,00";"0,00";"0,39";"39,14";"0,11";"9,76";"10,81";"9,76";"361,92";"361,92";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"39,14";"0,11";"9,76";"0,000";"0,00";"0,000";"0,000";"0,000";"2,60";"4.039,37";"260,94";"0,00";"0,00";"0,00"
"3,04";"CARLIN : CEBOLA GRAÚDA ROXA Kg";"340";"KG 1";"4,159";"8,99";"37,39";"0,03";"0,00";"0,00";"0,00";"4,99";"20,75";"0,06";"55,50";"124,70";"55,50";"16,64";"16,64";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"20,75";"0,06";"55,50";"0,000";"0,00";"0,000";"0,000";"0,000";"5,97";"81,20";"24,84";"0,00";"0,00";"0,00"
"3,15";"CARLIN : CENOURA Kg";"342";"KG 1";"59,381";"2,61";"155,13";"0,11";"207,23";"0,14";"133,58";"0,96";"57,15";"0,16";"36,84";"58,33";"36,84";"97,98";"97,98";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"57,15";"0,16";"36,84";"0,000";"0,00";"0,000";"0,000";"0,000";"1,41";"566,34";"83,72";"0,00";"0,00";"0,00"
"3,16";"CARLIN : CEREJA MARRASQUINO 100g CENTRAL ";"18055";"UN 1";"2,000";"9,99";"19,98";"0,01";"0,00";"0,00";"0,00";"3,36";"6,72";"0,02";"33,63";"89,56";"47,25";"10,54";"8,14";"0,00";"0,00";"0,00";"5,12";"0,00";"0,00";"0,00";"0,00";"6,72";"0,02";"45,21";"0,348";"0,00";"0,000";"0,000";"0,000";"5,45";"49,08";"10,91";"0,00";"0,00";"0,00"
"3,17";"CARLIN : CESCA PICADINHOS 100g COUVE";"18859";"UN 1";"4,000";"4,99";"19,96";"0,01";"0,00";"0,00";"0,00";"1,49";"5,96";"0,02";"29,86";"42,57";"29,86";"14,00";"14,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,96";"0,02";"29,86";"0,688";"0,01";"0,000";"0,000";"0,000";"3,50";"10,50";"14,00";"0,00";"0,00";"0,00"
"3,17";"CARLIN : CESCA PICADINHOS 200g BERINJELA";"18876";"UN 1";"1,000";"4,99";"4,99";"0,00";"0,00";"0,00";"0,00";"1,49";"1,49";"0,00";"29,86";"42,57";"29,86";"3,50";"3,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,49";"0,00";"29,86";"0,333";"0,00";"0,000";"0,000";"0,000";"3,50";"45,50";"3,50";"0,00";"0,00";"0,00"
"3,18";"CARLIN : CESCA PICADINHOS 200g CABOTIÁ";"18879";"UN 1";"2,000";"4,99";"9,98";"0,01";"0,00";"0,00";"0,00";"1,49";"2,98";"0,01";"29,86";"42,57";"29,86";"7,00";"7,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,98";"0,01";"29,86";"0,666";"0,01";"0,000";"0,000";"0,000";"3,50";"3,50";"7,00";"0,00";"0,00";"0,00"
"3,18";"CARLIN : CESCA PICADINHOS 200g CENOURA";"18871";"UN 1";"1,000";"4,99";"4,99";"0,00";"0,00";"0,00";"0,00";"1,49";"1,49";"0,00";"29,86";"42,57";"29,86";"3,50";"3,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,49";"0,00";"29,86";"0,333";"0,00";"0,000";"0,000";"0,000";"3,50";"31,50";"3,50";"0,00";"0,00";"0,00"
"3,18";"CARLIN : CESCA PICADINHOS 200g SALADA MISTA";"18888";"UN 1";"1,000";"4,99";"4,99";"0,00";"0,00";"0,00";"0,00";"1,49";"1,49";"0,00";"29,86";"42,57";"29,86";"3,50";"3,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,49";"0,00";"29,86";"0,333";"0,00";"0,000";"0,000";"0,000";"3,50";"70,00";"3,50";"0,00";"0,00";"0,00"
"3,18";"CARLIN : CESCA PICADINHOS 250g LEGUMES SOPA";"18900";"UN 1";"1,000";"4,99";"4,99";"0,00";"0,00";"0,00";"0,00";"1,49";"1,49";"0,00";"29,86";"42,57";"29,86";"3,50";"3,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,49";"0,00";"29,86";"0,353";"0,00";"0,000";"0,000";"0,000";"3,50";"3,50";"3,50";"0,00";"0,00";"0,00"
"3,19";"CARLIN : CESCA PICADINHOS 250g YAKISSOBA";"18902";"UN 1";"2,000";"4,99";"9,98";"0,01";"0,00";"0,00";"0,00";"1,49";"2,98";"0,01";"29,86";"42,57";"29,86";"7,00";"7,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,98";"0,01";"29,86";"0,706";"0,01";"0,000";"0,000";"0,000";"3,50";"42,00";"7,00";"0,00";"0,00";"0,00"
"3,23";"CARLIN : CHEIRO VERDE DEAAZ PRATICA 100G ";"6353";"UN 1";"9,000";"5,99";"53,91";"0,04";"0,00";"0,00";"0,00";"1,99";"17,91";"0,05";"33,22";"49,75";"33,22";"36,00";"36,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"17,91";"0,05";"33,22";"1,098";"0,01";"0,000";"0,000";"0,000";"4,00";"348,00";"36,00";"0,00";"0,00";"0,00"
"3,25";"CARLIN : COCO SECO Kg";"347";"KG 1";"5,336";"5,99";"31,95";"0,02";"0,00";"0,00";"0,00";"1,99";"10,61";"0,03";"33,21";"49,72";"33,21";"21,34";"21,34";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10,61";"0,03";"33,21";"0,000";"0,00";"0,000";"0,000";"0,000";"4,00";"554,15";"21,34";"0,00";"0,00";"0,00"
"3,26";"CARLIN : COCO VERDE UNID";"17349";"UN 1";"2,000";"5,99";"11,98";"0,01";"0,00";"0,00";"0,00";"0,99";"1,98";"0,01";"16,53";"19,80";"16,53";"10,00";"10,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1,98";"0,01";"16,53";"3,884";"0,05";"0,000";"0,000";"0,000";"4,98";"199,32";"9,97";"0,00";"0,00";"0,00"
"3,27";"CARLIN : COGUMELO ARTE DA TERRA 200g SHITAKE";"13606";"UN 1";"1,000";"11,99";"11,99";"0,01";"0,00";"0,00";"0,00";"3,36";"3,36";"0,01";"28,02";"38,93";"28,02";"8,63";"8,63";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,36";"0,01";"28,02";"0,210";"0,00";"0,000";"0,000";"0,000";"8,90";"213,62";"8,90";"0,00";"0,00";"0,00"
"3,28";"CARLIN : COGUMELO ARTE DA TERRA PARIS 200g";"13610";"UN 1";"1,000";"9,99";"9,99";"0,01";"0,00";"0,00";"0,00";"2,19";"2,19";"0,01";"21,92";"48,88";"32,83";"6,71";"5,24";"0,00";"0,00";"0,00";"2,56";"0,00";"0,00";"0,00";"0,00";"2,19";"0,01";"29,47";"0,210";"0,00";"0,000";"0,000";"0,000";"7,26";"304,87";"7,26";"0,00";"0,00";"0,00"
"3,30";"CARLIN : COGUMELO ARTE DA TERRA SHIMEJI 200g";"13604";"UN 1";"3,000";"8,99";"26,97";"0,02";"0,00";"0,00";"0,00";"2,50";"7,49";"0,02";"27,77";"67,41";"40,27";"16,11";"12,57";"0,00";"0,00";"0,00";"6,91";"0,00";"0,00";"0,00";"0,00";"7,49";"0,02";"37,33";"0,633";"0,01";"0,000";"0,000";"0,000";"6,18";"166,97";"18,55";"0,00";"0,00";"0,00"
"3,33";"CARLIN : COGUMELO FATIADO 100g CENTRAL ";"18065";"UN 1";"6,000";"6,99";"41,94";"0,03";"0,00";"0,00";"0,00";"0,73";"4,36";"0,01";"10,40";"21,95";"18,00";"34,39";"26,84";"0,00";"0,00";"0,00";"10,74";"0,00";"0,00";"0,00";"0,00";"4,36";"0,01";"13,97";"1,332";"0,02";"0,000";"0,000";"0,000";"5,50";"110,04";"33,01";"0,00";"0,00";"0,00"
"3,34";"CARLIN : COUVE FLOR AJ MONTEIRO und";"18696";"UN 1";"1,000";"11,99";"11,99";"0,01";"0,00";"0,00";"0,00";"4,49";"4,49";"0,01";"37,45";"59,87";"37,45";"7,50";"7,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4,49";"0,01";"37,45";"0,562";"0,01";"0,000";"0,000";"0,000";"7,46";"835,87";"7,46";"0,00";"0,00";"0,00"
"3,52";"CARLIN : DEVAIR CAJURU UNID ALFACE";"18952";"UN 1";"39,000";"6,99";"272,61";"0,18";"0,00";"0,00";"0,00";"2,99";"116,61";"0,32";"42,78";"74,75";"42,78";"156,00";"156,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"116,61";"0,32";"42,78";"10,998";"0,14";"0,000";"0,000";"0,000";"4,26";"3.396,49";"165,99";"0,00";"0,00";"0,00"
"3,57";"CARLIN : DEVAIR CAJURU UNID CHEIRO VERDE";"18959";"UN 1";"10,000";"6,99";"69,90";"0,05";"0,00";"0,00";"0,00";"2,99";"29,90";"0,08";"42,78";"74,75";"42,78";"40,00";"40,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"29,90";"0,08";"42,78";"2,820";"0,04";"0,000";"0,000";"0,000";"4,07";"2.933,33";"40,74";"0,00";"0,00";"0,00"
"3,58";"CARLIN : GENGIBRE KG";"353";"KG 1";"0,661";"18,00";"11,90";"0,01";"0,00";"0,00";"0,00";"3,48";"2,30";"0,01";"19,33";"27,14";"21,34";"9,36";"8,50";"0,00";"0,00";"0,00";"1,10";"0,00";"0,00";"0,00";"0,00";"2,30";"0,01";"21,30";"0,000";"0,00";"0,000";"0,000";"0,000";"11,60";"102,63";"7,67";"0,00";"0,00";"0,00"
"3,61";"CARLIN : GOIABA KG";"357";"KG 1";"4,290";"11,99";"51,45";"0,03";"0,00";"0,00";"0,00";"3,71";"15,90";"0,04";"30,90";"44,73";"30,90";"35,55";"35,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"15,90";"0,04";"30,90";"0,000";"0,00";"0,000";"0,000";"0,000";"8,25";"1.373,20";"35,39";"0,00";"0,00";"0,00"
"3,63";"CARLIN : INHAME KG";"359";"KG 1";"1,735";"14,99";"26,01";"0,02";"0,00";"0,00";"0,00";"4,37";"7,58";"0,02";"29,14";"41,13";"29,14";"18,43";"18,43";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"7,58";"0,02";"29,14";"0,000";"0,00";"0,000";"0,000";"0,000";"9,34";"0,00";"16,20";"0,00";"0,00";"0,00"
"3,65";"CARLIN : JILÓ KG";"367";"KG 1";"2,659";"12,00";"31,90";"0,02";"0,00";"0,00";"0,00";"3,00";"7,97";"0,02";"24,98";"33,31";"24,98";"23,93";"23,93";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"7,97";"0,02";"24,98";"0,000";"0,00";"0,000";"0,000";"0,000";"9,86";"631,60";"26,21";"0,00";"0,00";"0,00"
"3,67";"CARLIN : KIWI Kg";"375";"KG 1";"0,910";"27,00";"24,57";"0,02";"0,00";"0,00";"0,00";"7,00";"6,37";"0,02";"25,93";"35,00";"25,93";"18,20";"18,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,37";"0,02";"25,93";"0,000";"0,00";"0,000";"0,000";"0,000";"20,94";"406,11";"19,06";"0,00";"0,00";"0,00"
"3,68";"CARLIN : LARANJA LIMA PACOTE 1Kg";"18874";"UN 1";"2,000";"6,99";"13,98";"0,01";"0,00";"0,00";"0,00";"1,99";"3,98";"0,01";"28,47";"39,80";"28,47";"10,00";"10,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,98";"0,01";"28,47";"2,894";"0,04";"0,000";"0,000";"0,000";"4,95";"548,93";"9,89";"0,00";"0,00";"0,00"
"3,81";"CARLIN : LARANJA PERA Kg";"381";"KG 1";"67,135";"2,93";"196,45";"0,13";"241,01";"0,16";"122,68";"0,68";"45,40";"0,12";"23,11";"30,06";"23,11";"151,05";"151,05";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"45,40";"0,12";"23,11";"0,000";"0,00";"0,000";"0,000";"0,000";"2,29";"477,45";"153,57";"0,00";"0,00";"0,00"
"3,89";"CARLIN : LIMÃO TAITI Kg";"389";"KG 1";"66,016";"1,81";"119,68";"0,08";"171,00";"0,12";"142,88";"0,41";"27,26";"0,07";"22,78";"29,50";"22,78";"92,42";"92,42";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"27,26";"0,07";"22,78";"0,000";"0,00";"0,000";"0,000";"0,000";"1,15";"899,22";"76,14";"0,00";"0,00";"0,00"
"3,91";"CARLIN : MAMÃO FORMOSA Kg";"390";"KG 1";"7,530";"3,99";"30,04";"0,02";"0,00";"0,00";"0,00";"1,24";"9,33";"0,03";"31,06";"45,05";"31,06";"20,71";"20,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9,33";"0,03";"31,06";"0,000";"0,00";"0,000";"0,000";"0,000";"2,35";"484,83";"17,71";"0,00";"0,00";"0,00"
"4,01";"CARLIN : MAMÃO PAPAYA Kg";"391";"KG 1";"16,358";"8,99";"147,06";"0,10";"0,00";"0,00";"0,00";"1,99";"32,55";"0,09";"22,13";"28,43";"22,13";"114,51";"114,51";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"32,55";"0,09";"22,13";"0,000";"0,00";"0,000";"0,000";"0,000";"4,90";"496,90";"80,07";"0,00";"0,00";"0,00"
"4,02";"CARLIN : MAMÃO PAPAYA UNID";"21730";"UN 1";"3,000";"3,99";"11,97";"0,01";"0,00";"0,00";"0,00";"3,99";"11,97";"0,03";"100,00";"";"100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"11,97";"0,03";"100,00";"1,710";"0,02";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"4,10";"CARLIN : MANDIOQUINHA SALSA AJ MONTEIRO 500g";"18884";"UN 1";"20,000";"5,99";"119,80";"0,08";"0,00";"0,00";"0,00";"1,99";"39,80";"0,11";"33,22";"49,75";"33,22";"80,00";"80,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"39,80";"0,11";"33,22";"11,140";"0,14";"0,000";"0,000";"0,000";"3,58";"2.263,39";"71,51";"0,00";"0,00";"0,00"
"4,21";"CARLIN : MANGA Kg";"399";"KG 1";"47,699";"3,49";"166,62";"0,11";"214,17";"0,15";"128,54";"0,99";"47,37";"0,13";"28,43";"39,72";"28,43";"119,25";"119,25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"47,37";"0,13";"28,43";"0,000";"0,00";"0,000";"0,000";"0,000";"1,80";"0,00";"85,86";"0,00";"0,00";"0,00"
"4,34";"CARLIN : MARACUJÁ AZEDO Kg";"418";"KG 1";"14,919";"12,99";"193,81";"0,13";"0,00";"0,00";"0,00";"4,66";"69,49";"0,19";"35,85";"55,90";"35,85";"124,32";"124,32";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"69,49";"0,19";"35,85";"0,000";"0,00";"0,000";"0,000";"0,000";"7,13";"160,06";"106,40";"0,00";"0,00";"0,00"
"4,96";"CARLIN : MAÇÃ NACIONAL Kg";"425";"KG 1";"57,452";"15,99";"918,66";"0,62";"0,00";"0,00";"0,00";"3,30";"189,46";"0,52";"20,62";"25,98";"20,62";"729,20";"729,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"189,46";"0,52";"20,62";"0,000";"0,00";"0,000";"0,000";"0,000";"6,51";"2.500,35";"373,93";"0,00";"0,00";"0,00"
